driver_gene,target_gene,mean_drive_gene_ref_dep_score_for_target,mean_drive_gene_mut_dep_score_for_target,delta_rnai_dep_score_driver_and_target,ref_pool_cell_lines_for_driver,mut_pool_cell_lines_for_driver,ref_dep_score_observations_for_target,mut_dep_score_observations_for_target
TP53 (7157),ACTG2 (72),-0.6202763652905,-0.589736157960584,0.030540207329916025,20,99,20,99
TP53 (7157),ACTL6A (86),-0.6621886426014999,-0.6199944014679909,0.042194241133509,20,99,20,99
TP53 (7157),ACTL6B (51412),-0.044036459915390826,-0.053217311931632885,-0.00918085201624206,18,97,18,97
TP53 (7157),ACTL7A (10881),-0.2346642935667795,-0.2662364720993869,-0.03157217853260738,19,89,19,89
TP53 (7157),ACTL7B (10880),0.06984845095431,0.04468969730114833,-0.02515875365316167,19,89,19,89
TP53 (7157),ACTL8 (81569),0.11424890106667893,0.14542513830042142,0.031176237233742493,19,89,19,89
TP53 (7157),ACTL9 (284382),0.0001344543160916624,0.009412212946949482,0.00927775863085782,12,78,12,78
TP53 (7157),ACTN1 (87),-0.05219827250163106,-0.1678458316818663,-0.11564755918023523,19,89,19,89
TP53 (7157),ACTN2 (88),0.05744304996420419,0.043580524040290274,-0.013862525923913918,19,89,19,89
TP53 (7157),ACTN3 (89),0.11499483559202633,0.1019181986347027,-0.01307663695732364,19,89,19,89
TP53 (7157),ACTN4 (81),0.10726866870034998,0.15921294776962303,0.05194427906927304,20,99,20,99
TP53 (7157),ACTR10 (55860),-0.5157722481554167,-0.4894928357921602,0.026279412363256482,12,78,12,78
TP53 (7157),ACTR1A (10121),-0.5163434560776001,-0.6233873302736717,-0.10704387419607153,20,99,20,99
TP53 (7157),ACTR1B (10120),0.2217798699569626,0.18824091918765545,-0.03353895076930716,19,89,19,89
TP53 (7157),ACTR2 (10097),-0.20573786855248946,-0.2893244147348691,-0.08358654618237962,19,89,19,89
TP53 (7157),ACTR3 (10096),-0.18972985137030002,-0.22108890309721407,-0.031359051726914056,19,89,19,89
TP53 (7157),ACTR3B (57180),0.058248635630347885,0.030418815667552314,-0.02782981996279557,19,89,19,89
TP53 (7157),ACTR3BP5&ACTR3BP2 (399746&440888),-0.0179108255585275,-0.04947930623374239,-0.03156848067521489,12,78,12,78
TP53 (7157),ACTR5 (79913),-0.09250516649103,-0.13879097363007495,-0.046285807139044954,20,99,20,99
TP53 (7157),ACTR6 (64431),-0.29216554315288196,-0.28227886738494545,0.009886675767936504,20,99,20,99
TP53 (7157),ACTR8 (93973),-0.42617717466681115,-0.3950980628074329,0.031079111859378228,18,97,18,97
TP53 (7157),ACTRT1 (139741),0.01295061385264025,0.027959029489574794,0.015008415636934544,12,78,12,78
TP53 (7157),ACTRT2 (140625),-0.04487313296741579,-0.038988170995634834,0.005884961971780955,19,89,19,89
TP53 (7157),ACTRT3 (84517),0.11748505668108003,0.12823100950065355,0.010745952819573523,20,99,20,99
TP53 (7157),ACVR1 (90),-0.04952517020108001,-0.07601111539901839,-0.026485945197938385,20,99,20,99
TP53 (7157),ACVR1B (91),-0.03469189466649349,-0.029065828576164552,0.005626066090328941,20,99,20,99
TP53 (7157),ACVR1C (130399),0.051674680513454994,0.007587381293013082,-0.04408729922044191,20,99,20,99
TP53 (7157),ACVR2A (92),-0.11510292939863502,-0.09331728121812255,0.02178564818051247,20,99,20,99
TP53 (7157),ACVR2B (93),-0.15920684612798203,-0.09709847962654013,0.0621083665014419,20,99,20,99
TP53 (7157),ACVRL1 (94),-0.14423152051369004,-0.09925603727323729,0.04497548324045275,20,99,20,99
TP53 (7157),ACY1 (95),-0.04026066396144632,-0.08365927922685867,-0.04339861526541235,19,89,19,89
TP53 (7157),ACY3 (91703),0.1917770469353421,0.11331521226073585,-0.07846183467460624,19,89,19,89
TP53 (7157),ACYP1 (97),0.022018717464036844,0.01468584468802337,-0.007332872776013475,19,89,19,89
TP53 (7157),ACYP2 (98),-0.07596849839278247,-0.04078355556929858,0.03518494282348389,20,99,20,99
TP53 (7157),ADA (100),-0.0745057675705,-0.013967143837715959,0.060538623732784035,19,89,19,89
TP53 (7157),ADA2 (51816),-0.013311794226505788,-0.007099702046075169,0.006212092180430619,19,89,19,89
TP53 (7157),ADAD1 (132612),-0.07092734742883416,-0.16077006042611947,-0.0898427129972853,12,78,12,78
TP53 (7157),ADAD2 (161931),0.023848123204182628,0.012404430232578976,-0.011443692971603652,19,89,19,89
TP53 (7157),ADAL (161823),0.08130322814329886,0.09179534088056693,0.010492112737268064,18,97,18,97
TP53 (7157),ADAM10 (102),0.02911320497458572,-0.21172800218248183,-0.24084120715706756,7,11,7,11
TP53 (7157),ADAM11 (4185),0.07220658888215369,0.07613048712006786,0.00392389823791417,19,89,19,89
TP53 (7157),ADAM12 (8038),0.06597341804569999,0.010066766843021584,-0.055906651202678403,20,99,20,99
TP53 (7157),ADAM15 (8751),-0.007585171235131049,0.029891416130846334,0.037476587365977386,19,89,19,89
TP53 (7157),ADAM17 (6868),-0.05846274387449849,-0.04116696076610234,0.017295783108396155,20,99,20,99
